Index,scenario
1,2
2,2
3,1
4,1
5,1
6,1
7,2
8,1
9,1
10,1
11,1
12,1
13,1
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,1
37,2
38,2
39,2
40,2
41,2
42,1
43,1
44,2
45,2
46,2
47,2
48,2
49,2
50,1
51,1
52,1
53,1
54,1
55,2
56,2
57,2
58,1
59,1
60,1
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,1
74,1
75,1
76,1
77,2
78,2
79,1
80,1
81,1
82,1
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,1
92,1
93,2
94,2
95,2
96,1
97,1
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,1
106,1
107,1
108,1
109,1
110,2
111,1
112,2
113,2
114,1
115,1
116,1
117,1
118,1
119,2
120,1
121,1
122,2
123,2
124,2
125,2
126,2
127,2
128,1
129,1
130,1
131,1
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,2
150,1
151,1
152,1
153,2
154,2
155,2
156,1
157,1
158,1
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,2
182,1
183,1
184,1
185,2
186,2
187,2
188,2
189,2
190,1
191,2
192,2
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
