Index,scenario
1,2
2,2
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,1
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,1
40,2
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,2
49,1
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,1
60,1
61,2
62,2
63,1
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,1
75,1
76,2
77,2
78,2
79,2
80,2
81,2
82,1
83,1
84,1
85,2
86,2
87,2
88,2
89,2
90,2
91,1
92,2
93,2
94,2
95,2
96,1
97,1
98,2
99,2
100,2
101,2
102,2
103,2
104,1
105,1
106,1
107,2
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,2
116,2
117,2
118,2
119,2
120,1
121,1
122,1
123,1
124,1
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,1
137,2
138,2
139,2
140,2
141,1
142,1
143,1
144,1
145,2
146,2
147,2
148,2
149,2
150,1
151,1
152,2
153,1
154,1
155,2
156,1
157,1
158,2
159,2
160,2
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,2
173,2
174,1
175,1
176,1
177,2
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,2
192,2
193,1
194,1
195,2
196,2
197,2
198,2
199,2
200,2
