Index,scenario
1,2
2,2
3,1
4,1
5,1
6,1
7,2
8,2
9,1
10,1
11,2
12,2
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,1
28,1
29,1
30,2
31,2
32,2
33,2
34,2
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,2
46,2
47,1
48,2
49,2
50,2
51,2
52,1
53,2
54,2
55,2
56,2
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,2
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,2
83,2
84,2
85,2
86,2
87,2
88,1
89,1
90,1
91,1
92,2
93,2
94,2
95,1
96,1
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,2
116,2
117,2
118,1
119,1
120,1
121,1
122,1
123,1
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,2
167,2
168,2
169,1
170,1
171,1
172,1
173,1
174,2
175,1
176,2
177,1
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,1
199,1
200,1
