Index,scenario
1,2
2,1
3,1
4,2
5,1
6,1
7,2
8,2
9,2
10,2
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,2
23,1
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,1
33,1
34,1
35,1
36,2
37,2
38,2
39,2
40,2
41,2
42,1
43,2
44,2
45,2
46,1
47,1
48,2
49,2
50,1
51,2
52,2
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,2
61,2
62,1
63,1
64,1
65,2
66,2
67,2
68,2
69,2
70,1
71,2
72,2
73,1
74,1
75,2
76,2
77,2
78,2
79,1
80,1
81,1
82,1
83,2
84,2
85,2
86,2
87,2
88,1
89,1
90,1
91,1
92,2
93,2
94,1
95,1
96,2
97,1
98,2
99,2
100,2
101,2
102,2
103,1
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,2
125,2
126,2
127,1
128,1
129,1
130,1
131,1
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,1
150,1
151,1
152,1
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,1
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,2
192,2
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
