Index,scenario
1,2
2,2
3,2
4,2
5,1
6,1
7,1
8,2
9,2
10,2
11,2
12,1
13,1
14,1
15,1
16,1
17,2
18,1
19,2
20,2
21,2
22,1
23,1
24,1
25,1
26,2
27,2
28,2
29,2
30,1
31,1
32,2
33,2
34,1
35,2
36,2
37,2
38,1
39,1
40,1
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,2
67,2
68,2
69,1
70,1
71,1
72,1
73,1
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,2
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,2
99,2
100,2
101,2
102,2
103,1
104,1
105,1
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,1
115,2
116,2
117,2
118,2
119,2
120,1
121,1
122,2
123,2
124,2
125,2
126,2
127,1
128,1
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,1
167,1
168,2
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
